id_espacial,anio,tipo,id,calle1,calle2,lon,lat
-99.14943_19.40686,2019,radar fijo,BCFC003,Escuela Médico Militar - José Antonio Torres Xocongo,y Fray Servando Teresa de Mier,-99.149428,19.406861
-99.14943_19.40686,2020,radar fijo,BFCF017,Eje 3 Sur (Dr. Morones Prieto) ,y Dr. José Ma. Vértiz,-99.149428,19.406861
-99.14943_19.40686,2020,radar fijo,BFCF018,Eje 3 Sur (Dr. Morones Prieto) ,y Dr. José Ma. Vértiz,-99.149428,19.406861
-99.14943_19.40686,2020,radar fijo,BCFC003,Escuela Médico Militar - José Antonio Torres Xocongo,y Fray Servando Teresa de Mier,-99.149428,19.406861
-99.14943_19.40686,2021,radar fijo,BFCF017,Eje 3 Sur (Dr. Morones Prieto) ,y Dr. José Ma. Vértiz,-99.149428,19.406861
-99.14943_19.40686,2021,radar fijo,BFCF018,Eje 3 Sur (Dr. Morones Prieto) ,y Dr. José Ma. Vértiz,-99.149428,19.406861
-99.14943_19.40686,2021,radar fijo,BCFC003,Escuela Médico Militar - José Antonio Torres Xocongo,y Fray Servando Teresa de Mier,-99.149428,19.406861
-99.14943_19.40686,2022,radar fijo,BFCF017,Eje 3 Sur (Dr. Morones Prieto) Y,Dr. José Ma. Vértiz,-99.149428,19.406861
-99.14943_19.40686,2022,radar fijo,BFCF018,Eje 3 Sur (Dr. Morones Prieto) Y ,Dr. José Ma. Vértiz,-99.149428,19.406861
-99.14943_19.40686,2022,radar fijo,BCFC003,Escuela Médico Militar-José Antonio Torres Xocongo Y,Fray Servando Teresa De Mier,-99.149428,19.406861
-99.14943_19.40686,2023,radar fijo,BFCF017,Eje 3 Sur (Dr. Morones Prieto) Y,Dr. José Ma. Vértiz,-99.149428,19.406861
-99.14943_19.40686,2023,radar fijo,BFCF018,Eje 3 Sur (Dr. Morones Prieto) Y,Dr. José Ma. Vértiz,-99.149428,19.406861
-99.14943_19.40686,2023,radar fijo,BFCF003,Escuela Médico Militar-José Antonio Torres Xocongo Y,Fray Servando Teresa De Mier,-99.149428,19.406861
-99.14963_19.43652,2023,radar fijo,011-SSC-CUH-FC-124.86,Ignacio Mariscal,Tomás Alva Edison,-99.1496257,19.43651959
-99.14963_19.43652,2024,radar fijo,011-SSC-CUH-FC-124.86,Ignacio Mariscal,Tomas Alva Edison,-99.1496257,19.43651959
-99.14_19.44414,2019,radar fijo,BFCF006,Eje 1 Norte Mosqueta - Paseo de la Reforma ,y Eje Central Lázaro Cárdenas,-99.140003,19.444137
-99.14_19.44414,2019,radar fijo,BFCF016,Paseo de la Reforma,y Eje Central Lázaro Cárdenas y Eje 1 Norte Mosqueta,-99.140003,19.444137
-99.14_19.44414,2020,radar fijo,BFCF006,Eje 1 Norte Mosqueta - Paseo de la Reforma ,y Eje Central Lázaro Cárdenas,-99.140003,19.444137
-99.14_19.44414,2020,radar fijo,BFCF016,Paseo de la Reforma,y Eje Central Lázaro Cárdenas y Eje 1 Norte Mosqueta,-99.140003,19.444137
-99.14_19.44414,2020,radar fijo,BFCF005,Eje 1 Norte Mosqueta,Y Paseo de la Reforma y Eje Central,-99.140003,19.444137
-99.14_19.44414,2021,radar fijo,BFCF006,Eje 1 Norte Mosqueta - Paseo de la Reforma ,y Eje Central Lázaro Cárdenas,-99.140003,19.444137
-99.14_19.44414,2021,radar fijo,BFCF016,Paseo de la Reforma,y Eje Central Lázaro Cárdenas y Eje 1 Norte Mosqueta,-99.140003,19.444137
-99.14_19.44414,2021,radar fijo,BFCF005,Eje 1 Norte Mosqueta,Y Paseo de la Reforma y Eje Central,-99.140003,19.444137
-99.14_19.44414,2022,radar fijo,BFCF005,Eje 1 Norte Mosqueta - Paseo De La Reforma Y ,Eje Central Lázaro Cárdenas,-99.140003,19.444137
-99.14_19.44414,2022,radar fijo,BFCF006,Eje 1 Norte Mosqueta - Paseo De La Reforma Y ,Eje Central Lázaro Cárdenas,-99.140003,19.444137
-99.14_19.44414,2022,radar fijo,BFCF016,Paseo De La Reforma Y Eje Central Lázaro Cárdenas,Y Eje 1 Norte Mosqueta,-99.140003,19.444137
-99.14_19.44414,2023,radar fijo,BFCF005,Eje 1 Norte Mosqueta - Paseo De La Reforma Y,Eje Central Lázaro Cárdenas,-99.140003,19.444137
-99.14_19.44414,2023,radar fijo,BFCF006,Eje 1 Norte Mosqueta - Paseo De La Reforma Y,Eje Central Lázaro Cárdenas,-99.140003,19.444137
-99.14_19.44414,2023,radar fijo,BFCF016,Paseo De La Reforma Y Eje Central Lázaro Cárdenas Y ,Eje 1 Norte Mosqueta,-99.140003,19.444137
-99.15026_19.49435,2019,radar fijo,RVEF008,Eje 1 Nte. José Antonio Álzate ,y Naranjo,-99.1502647,19.4943507
-99.15026_19.49435,2020,radar fijo,RVEF008,Eje 1 Nte. José Antonio Álzate ,y Naranjo,-99.1502647,19.4943507
-99.15026_19.49435,2021,radar fijo,RVEF008,Eje 1 Nte. José Antonio Álzate ,y Naranjo,-99.1502647,19.4943507
-99.15026_19.49435,2022,radar fijo,RVEF008,Eje 1 Nte. José Antonio Alzáte Y ,Naranjo,-99.1502647,19.4943507
