id_control,ubi,no,via_princi,ubicacion,sentido,x_utm,y_utm,distancia_tratado_m
CTRL_045,82,36,Av. Insurgentes Nte.,Av. Insurgentes Nte. y Av. Ricarte,Norte a Sur,486713.41515647847,2154396.0313773374,6258.692282078074
CTRL_046,62,16,Eje 8 Sur Ermita Iztapalapa,Eje 8 Sur Ermita Iztapalapa y Roc?o,Oriente a Poniente,494069.3082239816,2138759.1778475577,3464.384295521356
CTRL_047,87,41,Perif?rico 2P S-N,Perif?rico 2P S-N Calz. Catarina y Av. Le?n Felipe,Sur a Norte,478912.8221599009,2139601.0168050798,7704.545409680103
CTRL_048,51,5,Eje Central L?zaro C?rdenas,Eje Central L?zaro C?rdenas y Fortuna,Sur a Norte,484972.4556793939,2154683.6605248,5046.924035250154
CTRL_049,70,24,Eje 1 Nte. Mosqueta,Eje 1 Nte. Mosqueta y Soto,Poniente a Oriente,484877.4522491106,2150048.9073517825,4536.149587060889
CTRL_050,24,24,Av. Ej?rcito Nacional Mexicano,Av. Ej?rcito Nacional Mexicano y Anillo Perif?rico Boulevard Manuel ?vila Camacho,Oriente a Poniente,477587.1109403335,2149411.468207614,4561.328692524257
CTRL_051,35,35,Eje 3 Oriente,Eje 3 Oriente Ing. Eduardo Molina y Eje 5 Norte San Juan de Arag?n,Sur a Norte,489734.3507137402,2153790.8842317862,5170.239063092221
CTRL_052,132,7,Eje 2 Oriente La viga y Circuito Bicentenario Rio Churubusco,Eje 2 Oriente,Sur a Norte,487145.2147626615,2141642.9379868144,1642.5094277092835
CTRL_053,25,25,Eje 5 Sur,Eje 5 Sur y Anillo Periferico Oriente,Oriente a Poniente,481021.8847857099,2139189.386674418,5881.222141642262
CTRL_054,96,50,Autopista Urbana Norte (AUN),AUN /  Calle 16 y Av. San Antonio,Sur a Norte,479719.4870801431,2143411.048727822,9093.900819313349
CTRL_055,1,1,Eje 3 Sur,Eje 3 Sur (Dr. Morones Prieto) y Dr. Jos? Ma. V?rtiz,Oriente a Poniente,484311.3241975992,2145853.5162685877,5447.64908720956
CTRL_056,8,8,Eje 1 Norte,Eje 1 Norte - Insurgentes - Buenavista,Poniente a Oriente,483920.82051926106,2150178.1911696866,4817.679000101283
CTRL_057,6,6,Zaragoza,Calz Gral. Ignacio Zaragoza y Viaducto,Poniente a Oriente,491865.6707786153,2146060.003478987,2240.148985736641
CTRL_058,95,49,Autopista Urbana Norte (AUN),AUN /   Fernando Alencastre y Av. de los Constituyentes,Sur a Norte,479474.33482016553,2147232.669550613,5987.931723890583
CTRL_059,75,29,Circuito Bicentenario Av. R?o Consulado,Circuito Bicentenario Av. R?o Consulado y Cant?n,Poniente a Oriente,489893.95765200065,2150746.559662184,2211.688597045401
CTRL_060,68,22,Av. Canal del Nte.,Av. Canal del Nte. y Tenochtitl?n,Oriente a Poniente,486635.53079561784,2150915.3986570807,3416.52194295884
CTRL_061,34,34,Eje 2 Norte,Eje 2 Norte Manuel Gonz?lez y Eje Central L?zaro C?rdenas,Oriente a Poniente,485487.5978079811,2151148.0707825944,4468.661835853629
CTRL_062,129,4,Av. Revolucion - Eje 10 Sur Loreto,Av. Revolución,Norte a Sur,479820.85153056926,2138330.9108945765,6218.280654072414
CTRL_063,86,40,Perif?rico 2P S-N,Perif?rico 2P S-N Aurelio Rivera/Pino,Sur a Norte,478706.33463080006,2138811.0095976684,7412.404320634939
CTRL_064,56,10,Calz. Vallejo,Calz. Vallejo y Cuauht?moc,Norte a Sur,484810.5988130709,2152818.746455701,4670.592324888519
CTRL_066,131,6,Eje 7 Sur Municipio Libre y Division del Norte,Eje 7 Sur,Oriente a Poniente,483560.01158058236,2141812.032788598,5168.458945287642
CTRL_067,66,20,Av. Revoluci?n,Av. Revoluci?n y Calle 13,Norte a Sur,480477.97765645466,2144063.4894570345,8470.188481981204
CTRL_068,93,47,Autopista Urbana Norte (AUN),AUN / Deportivo Israelita /Ing. Zapadores y Av. del Conscripto,Sur a Norte,476827.9715117098,2150405.4343647095,4332.680198777454
CTRL_069,26,26,Eje 6 Sur,Eje 6 Sur Playa Pie de la Cuesta y Eje 1 Ote. Andr?s Molina Enr?quez,Poniente a Oriente,486355.65886277374,2142560.381817535,2406.6873125827997
CTRL_070,30,30,Revoluci?n,Eje 4 Pte. Av. Revoluci?n y Av. Barranca del Muerto,Norte a Sur,480140.17624916753,2141035.1306192167,7865.507602542074
CTRL_071,39,39,Av. Constituyentes,Av. Constituyentes y Gob. Gregorio Villa Gelati,Oriente a Poniente,480073.5547555747,2146538.866602322,6643.508899467014
CTRL_072,64,18,Calz. De Tlalpan,Calz. De Tlalpan y Calle Atletas,Sur a Norte,484820.9204257623,2140055.863373705,4407.038424625475
CTRL_073,99,53,Autopista Urbana Norte (AUN),AUN / Av. Ej?rcito Nacional y Miguel de Cervantes Saavedra,Norte a Sur,479829.8734660713,2146205.58299332,6983.8359893052175
CTRL_074,98,52,Autopista Urbana Norte (AUN),AUN / Gobernador Jos? Ceballos y Av. Constituyentes,Norte a Sur,479829.8734660713,2146205.58299332,6983.8359893052175
CTRL_075,72,26,Circuito Bicentenario Calz. Melchor Ocampo,Circuito Bicentenario Calz. Melchor Ocampo y Nezahualpilli,Norte a Sur,482413.5491652548,2149573.11423306,4257.716007451597
CTRL_076,53,7,Eje 3 Sur Jos? Pe?n,Eje 3 Sur Jos? Pe?n y Contreras y Jos? Mar?a Bustillos,Oriente  a Poniente,485180.8785617692,2145907.1585194245,4588.3569685385055
CTRL_078,84,38,Calz. Ignacio Zaragoza,Calz. Ignacio Zaragoza y Primavera,Poniente a Oriente,494216.08878485207,2144647.791159215,4535.962627724495
CTRL_079,9,9,Av. Instituto Polit?cnico Nacional,Av. Instituto Polit?cnico Nacional y Eje 5 Nte Montevideo,Norte a Sur,485983.1058379334,2155183.2236255654,6162.964684205161
CTRL_080,17,17,Marina Nacional,Calz Gral. Mariano Escobedo y Av. Marina Nacional,Norte a Sur,480852.4829398144,2150425.3956408612,2843.5749800646004
CTRL_081,4,4,Izazaga,Jos? Mar?a Izazaga y Jos? Mar?a Pino Su?rez,Oriente a Poniente,486046.46831689065,2147960.8121739198,3220.190704549852
CTRL_082,8,8,Eje 1 Norte,Eje 1 Norte - Insurgentes - Buenavista,Poniente a Oriente,483893.6779639396,2150227.345536817,4765.859829978595
CTRL_083,19,19,Eje 2 Norte,Eje 2 Norte Canal del Norte y Av. Circunvalaci?n y Eje 1 Oriente Av. del Trabajo,Oriente a Poniente,486910.4472817138,2150856.407077213,3174.672145305766
CTRL_084,32,32,Andr?s Molina Enr?quez,Eje 1 Ote. Andr?s Molina Enr?quez y Eje 5 Sur Playa Villa del Mar,Norte a Sur,486402.21949799213,2143034.936048268,2495.324284939394
CTRL_085,22,22,Taxque?a,Eje 9 Sur Taxque?a y Eje 1 Oriente Canal de Miramontes,Oriente a Poniente,485571.42404542194,2138578.8288904596,3823.169343201261
CTRL_086,127,2,Paseo de la Reforma - Eje 1 Poniente - Ju?rez,Eje 1 Poniente,Norte a Sur,484282.83500998345,2149073.9933251487,4927.744825603656
CTRL_087,91,45,Perif?rico 2P S-N,Perif?rico 2P S-N / Miguel Cabrera y La Casta?eda,Norte a Sur,479895.6928991451,2141890.967541923,8698.702791799251
CTRL_088,10,10,Calzada de Misterios,Calzada de Misterios y Eje 3 Norte Av. Alfredo Robles Dom?nguez,Norte a Sur,486887.2027161789,2152668.819478079,4633.674291693158
CTRL_089,78,32,Av. Constituyentes,Av. Constituyentes y Camino de los Toros,Poniente a Oriente,478765.01490265137,2145796.509127491,7514.88416729264
CTRL_090,135,10,Av. Tláhuac y Ganaderos,Av. Tláhuac,Sur a Norte,488775.7124221889,2139465.1037283083,2309.646766958571
CTRL_091,37,37,Av. Instituto Polit?cnico Nacional,Av. Instituto Polit?cnico Nacional y Av. Ricarte,Sur a Norte,485940.14490418363,2154861.032610049,6024.726186699726
CTRL_092,38,38,Eje 8 Sur,Eje 8 Sur Ermita Iztapalapa y Eje 5 Ote Av. Rojo G?mez,Oriente a Poniente,485939.93392621673,2154186.928864645,5872.43245733451
CTRL_093,130,5,Eje 8 Sur y Av. Universidad,Eje 8 Sur,Poniente a Oriente,482372.9200469369,2141381.048580762,6388.687750697923
CTRL_094,63,17,Av. Ej?rcito Nacional,Av. Ej?rcito Nacional y Calle Luis Vives,Poniente a Oriente,477980.05899718625,2149383.5983191202,4376.487691981953
CTRL_095,59,13,Eje 5 Av. Montevideo,Eje 5 Av. Montevideo y Nte. 31-A,Oriente a Poniente,484231.93223760696,2155534.636712037,4707.842526104204
CTRL_096,49,3,Av. Chapultepec,Av. Chapultepec y Guaymas,Poniente a Oriente,483662.23139407166,2147897.9328471995,5580.790329413931
CTRL_097,79,33,Av.608,Av.608 y Av. 508,Oriente a Poniente,492074.96592382604,2151034.3535888675,3485.820847345174
CTRL_098,13,13,Paseo de la Reforma,Paseo de la Reforma y Eje Central L?zaro C?rdenas y Eje 1 Norte Mosqueta,Norte a Sur,485398.883502703,2149951.977500506,4010.842821585488
CTRL_099,15,15,Eje 8 Sur Ermita Iztapalapa,Eje 8 Sur Ermita Iztapalapa y Eje 6 Sur Narciso Mendoza,Sur a Norte,493790.9143492955,2142489.920309619,3617.0945184924003
CTRL_100,14,14,Perif?rico,Perif?rico Oriente Canal de Garay - Av. Tl?huac y San Lorenzo,Norte a Sur,492060.79437148,2136095.569138875,3852.4524342142463
CTRL_101,5,5,Universidad,Eje 9 Sur Miguel ?ngel de Quevedo y Av. Universidad,Sur a Norte,481021.8847857099,2139189.386674418,5881.222141642262
CTRL_102,7,7,Insurgentes,Insurgentes Buenavista y Eje 1 Norte,Sur a Norte,483893.6779639396,2150227.345536817,4765.859829978595
CTRL_103,60,14,Av. Calzada Ignacio Zaragoza,Av. Calzada Ignacio Zaragoza y Azc?rraga Vidaurreta,Poniente a Oriente,495548.6729013287,2143863.883962151,5848.121166465277
CTRL_104,134,9,Calz. Gral. Mariano Escobedo y Laguna de T?rminos,Calz. Gral. Mariano Escobedo,Sur a Norte,480783.1675309576,2149896.101760214,3345.45240946251
CTRL_105,69,23,Eje 1 Nte. Jos? Antonio ?lzate,Eje 1 Nte. Jos? Antonio ?lzate y Naranjo,Poniente a Oriente,483252.4215946765,2150322.9801209937,4215.763794577534
CTRL_106,76,30,Circuito Bicentenario Av. R?o Consulado,Circuito Bicentenario Av. R?o Consulado y Av. Encarnaci?n Ort?z,Oriente a Poniente,484416.0579071746,2152129.1343697933,4390.010114147563
CTRL_107,12,12,Eje 1 Norte,Eje 1 Norte Mosqueta - Paseo de la Reforma y Eje Central L?zaro C?rdenas,Poniente a Oriente,485304.2230727506,2149977.393897573,4108.6315508387115
CTRL_108,23,23,Eje 1 Oriente,Eje 1 Oriente Canal de Miramontes y Eje 9 Sur Taxque?a y Cerro de Teponaxtle,Sur a Norte,485569.51990425173,2138561.7899608333,3806.0489234215306
CTRL_109,48,2,Av. Paseo de la Reforma,Av. Paseo de la Reforma e Ignacio Allende,Sur a Norte,485616.13453553186,2150174.6593402987,3887.8865668927933
CTRL_110,44,44,Eje Central,Eje Central y Margarita Maza de Juarez,Sur a Norte,484079.96506656124,2157090.1927551692,5539.577544739764
CTRL_111,57,11,Calz. Vallejo,Calz. Vallejo y Calle Pino Su?rez,Norte a Sur,483133.6831731268,2157479.8608000493,5229.744651597085
CTRL_112,77,31,Circuito Bicentenario Av. R?o Consulado,Circuito Bicentenario Av. R?o Consulado y Av. Congreso de la Uni?n,Poniente a Oriente,487991.53254023055,2151301.0250862376,2911.038292126379
CTRL_113,88,42,Perif?rico 2P S-N,Perif?rico 2P S-N/Cda las Flores y Calz de las ?guilas,Sur a Norte,479708.1162554634,2140605.4127016896,7812.601511536643
