id_colonia,colonia,id_alcaldia,alcaldia,n_incidentes
07-257,9 1/2 - FRANCISCO VILLA (EJERCITO CONSTITUCIONALISTA) (CONJ HAB),7,IZTAPALAPA,6
10-036,CAÑADA DEL OLIVAR (U HAB),10,ALVARO OBREGON,6
10-237,VILLA SOLIDARIDAD,10,ALVARO OBREGON,6
02-019,DEMET (U HAB),2,AZCAPOTZALCO,5
03-064,LA CANTERA (U HAB),3,COYOACAN,5
03-108,SANTA MARTHA DEL SUR,3,COYOACAN,5
08-008,BATAN VIEJO (EL MAESTRO),8,LA MAGDALENA CONTRERAS,5
10-069,EMANCIPACION DEL PUEBLO (U HAB),10,ALVARO OBREGON,5
10-126,LOMAS DE BECERRA ARVIDE (U HAB),10,ALVARO OBREGON,5
11-048,TEPANTITLAMILCO,11,TLAHUAC,5
12-073,LA LIBERTAD - IXTLAHUACA,12,TLALPAN,5
02-031,FUENTES DE AZCAPOTZALCO-PARQUES DE AZCAPOTZALCO (U HAB),2,AZCAPOTZALCO,4
04-042,LA RETAMA,4,CUAJIMALPA DE MORELOS,4
04-054,1O DE MAYO,4,CUAJIMALPA DE MORELOS,4
10-155,MILPA DEL CEDRO,10,ALVARO OBREGON,4
02-109,VILLAS AZCAPOTZALCO (U HAB),2,AZCAPOTZALCO,3
03-116,VILLA PANAMERICANA 2DA. SECCIÓN (U HAB),3,COYOACAN,3
05-060,FERROCARRILERA INSURGENTES,5,GUSTAVO A. MADERO,3
05-062,FOVISSSTE RIO DE GUADALUPE (U HAB),5,GUSTAVO A. MADERO,3
05-173,SANTIAGO ATEPETLAC (LA SELVITA) (U HAB),5,GUSTAVO A. MADERO,3
07-089,GUELATAO DE JUAREZ I (U HAB),7,IZTAPALAPA,3
07-315,ROTARIOS (U HAB),7,IZTAPALAPA,3
07-319,CAROLOS PACHECO (U HAB),7,IZTAPALAPA,3
10-017,ARTURO GAMIZ,10,ALVARO OBREGON,3
10-045,CONCIENCIA PROLETARIA,10,ALVARO OBREGON,3
10-146,LOS CEDROS,10,ALVARO OBREGON,3
15-028,SANTA MARIA (U HAB),15,CUAUHTEMOC,3
03-123,VILLAS DEL PEDREGAL (U HAB),3,COYOACAN,2
04-007,CACALOTE,4,CUAJIMALPA DE MORELOS,2
07-148,NA HAL TI (U HAB),7,IZTAPALAPA,2
11-028,PARAISO SANTA CATARINA,11,TLAHUAC,2
12-046,FRESNO,12,TLALPAN,2
13-082,NUEVA TENOCHTITLAN (U HAB),13,XOCHIMILCO,2
16-079,TATA LÁZARO (U HAB),16,MIGUEL HIDALGO,2
02-020,ECOLOGICA NOVEDADES IMPACTO (U HAB),2,AZCAPOTZALCO,1
02-055,PANTACO (U HAB),2,AZCAPOTZALCO,1
03-068,LAS CABAÑAS,3,COYOACAN,1
05-079,HORNOS DE ARAGON (U HAB),5,GUSTAVO A. MADERO,1
05-084,INFONAVIT LORETO FABELA (U HAB),5,GUSTAVO A. MADERO,1
07-092,HUASIPUNGO (U HAB),7,IZTAPALAPA,1
07-110,LA JOYITA,7,IZTAPALAPA,1
07-147,MOYOCOYANI (U HAB),7,IZTAPALAPA,1
07-159,PLENITUD (U HAB),7,IZTAPALAPA,1
07-250,XOPA (U HAB),7,IZTAPALAPA,1
10-068,EL RUEDO,10,ALVARO OBREGON,1
11-017,LA JOYITA,11,TLAHUAC,1
17-010,BAHIA (U HAB),17,VENUSTIANO CARRANZA,1
17-024,EMILIANO ZAPATA (U HAB),17,VENUSTIANO CARRANZA,1
