folio,fecha_creacion,colonia_fuente,alcaldia_fuente,id_colonia,colonia,id_alcaldia,alcaldia
C5/20220209/01713,2022-02-09,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220210/02388,2022-02-10,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20220210/02388,2022-02-10,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220222/02306,2022-02-22,D M Nacional,Gustavo A. Madero,05-050,EL COYOL (U HAB),5,GUSTAVO A. MADERO
C5/20220222/02306,2022-02-22,D M Nacional,Gustavo A. Madero,05-089,JOSE MARIA MORELOS Y PAVON II (U HAB),5,GUSTAVO A. MADERO
C5/20220225/03623,2022-02-25,San Lorenzo Tlatenango,Miguel Hidalgo,02-060,PLENITUD,2,AZCAPOTZALCO
C5/20220225/03623,2022-02-25,San Lorenzo Tlatenango,Miguel Hidalgo,16-072,SAN DIEGO OCOYOACAC,16,MIGUEL HIDALGO
C5/20220310/02047,2022-03-10,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20220310/02047,2022-03-10,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220323/00231,2022-03-23,Barrio San Miguel,Iztapalapa,07-163,PRIVADA GAVILAN (U HAB),7,IZTAPALAPA
C5/20220323/00231,2022-03-23,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220325/01528,2022-03-25,Bosque De Chapultepec Ii Seccion,Miguel Hidalgo,16-046,LOMAS VIRREYES (LOMAS DE CHAPULTEPEC),16,MIGUEL HIDALGO
C5/20220325/01528,2022-03-25,Bosque De Chapultepec Ii Seccion,Miguel Hidalgo,16-053,MOLINO DEL REY,16,MIGUEL HIDALGO
C5/20220331/02713,2022-03-31,D M Nacional,Gustavo A. Madero,05-163,SAN JUAN III (U HAB),5,GUSTAVO A. MADERO
C5/20220331/02713,2022-03-31,D M Nacional,Gustavo A. Madero,05-186,TORRES DE SAN JUAN (U HAB),5,GUSTAVO A. MADERO
C5/20220408/02824,2022-04-08,San Miguel Chapultepec I Seccion,Cuauhtémoc,15-016,HIPODROMO CONDESA,15,CUAUHTEMOC
C5/20220408/02824,2022-04-08,San Miguel Chapultepec I Seccion,Cuauhtémoc,16-095,SAN MIGUEL CHAPULTEPEC II,16,MIGUEL HIDALGO
C5/20220414/01816,2022-04-14,Nueva El Rosario,Azcapotzalco,02-081,SAN MARTIN XOCHINAHUAC (PBLO),2,AZCAPOTZALCO
C5/20220414/01816,2022-04-14,Nueva El Rosario,Azcapotzalco,02-083,SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),2,AZCAPOTZALCO
C5/20220502/02243,2022-05-02,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20220502/02243,2022-05-02,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220504/02276,2022-05-04,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20220504/02276,2022-05-04,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220504/02717,2022-05-04,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20220504/02717,2022-05-04,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220504/02727,2022-05-04,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20220504/02727,2022-05-04,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220516/01133,2022-05-16,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
