anio,id_ubicacion_anual,x_utm,y_utm,n_registros,ids,tipos,calle1,calle2,anio_anterior,anio_actual,distancia_anterior_m,id_anterior,ids_anterior,tipos_anterior
2022,2022_486887_2152669,486887.2027161789,2152668.819478079,4,BFCF014 | BFCF029 | BFCF033 | BFCF034,radar fijo,Calzada De Misterios Y,Eje 3 Nte Av. Alfredo Robles Domínguez,2021,2022,0,2021_486887_2152669,BFCF014 | BFCF029 | BFCF033 | BFCF034,radar fijo
2022,2022_486906_2150856,486905.7239654484,2150856.4105014415,4,BFCF022 | BFCF023 | BFCF024 | BFCF025,radar fijo,"Eje 1 Oriente Av. Del Trabajo, Eje 2 Norte Canal Del Norte Y",Av. Circunvalación,2021,2022,0,2021_486906_2150856,BFCF022 | BFCF023 | BFCF024 | BFCF025,radar fijo
2022,2022_487430_2145712,487430.19436023873,2145712.068898416,1,VVEF004,radar fijo,Eje 8 Sur Ermita Iztapalapa Y,Rocío,2021,2022,0,2021_487430_2145712,VVEF004,radar fijo
2022,2022_487941_2130256,487940.93806018686,2130256.2070857864,2,JFCF008 | JFCF025,radar fijo,Av. Guadalupe I. Ramírez Y,Prol. División Del Norte,2021,2022,0,2021_487941_2130256,JFCF008 | JFCF025,radar fijo
2022,2022_489734_2153791,489734.3507137402,2153790.8842317862,1,JFCF020,radar fijo,Calz. Ignacio Zaragoza Y,Circuito Bicentenario Boulevard Puerto Aéreo Oriente,2021,2022,0,2021_489734_2153791,JFCF020,radar fijo
2022,2022_489838_2147294,489838.16025441815,2147294.033894816,1,VVEF002,radar fijo,Anillo Periférico Y,Y Embarcadero Del Parque Ecológico De Xochimilco,2021,2022,0,2021_489838_2147294,VVEF002,radar fijo
2022,2022_489936_2147296,489935.5857564855,2147295.9711870383,1,RVEF011,radar fijo,Eje Central Lázaro Cárdenas,Y Fortuna,2021,2022,0,2021_489936_2147296,RVEF011,radar fijo
2022,2022_489953_2142872,489952.5537835009,2142872.17467813,1,JFCF011,radar fijo,Eje 3 Pte. Thiers Y,Darwin,2021,2022,0,2021_489953_2142872,JFCF011,radar fijo
2022,2022_489954_2142799,489954.0882078002,2142798.700552957,1,JVEF010,radar fijo,Aun/Fernando Alencastre Y,Av. De Los Constituyentes,2021,2022,0,2021_489954_2142799,JVEF010,radar fijo
2022,2022_490958_2149247,490957.7433004438,2149246.787605837,1,JVEF008,radar fijo,Aun/Deportivo Israelita/Ing. Zapadores Y,Av. Del Conscripto,2021,2022,0,2021_490958_2149247,JVEF008,radar fijo
2022,2022_491866_2146060,491865.6707786153,2146060.003478987,1,BFCF009,radar fijo,Calz. Gral. Ignacio Zaragoza,Y Viaducto,2021,2022,0,2021_491866_2146060,BFCF009,radar fijo
2022,2022_492061_2136096,492060.79437148,2136095.569138875,1,JFCF001,radar fijo,Eje 4 Ote. Canal Río Churubusco Y,Canal De Apatlaco,2021,2022,0,2021_492061_2136096,JFCF001,radar fijo
2022,2022_493791_2142490,493790.9143492955,2142489.920309619,1,JFCF002,radar fijo,Eje 9 Sur Taxqueña Y ,Eje 1 Oriente Canal De Miramontes,2021,2022,0,2021_493791_2142490,JFCF002,radar fijo
2022,2022_494069_2138759,494069.3082239816,2138759.1778475577,1,RVEF013,radar fijo,Circuito Bicentenario Calz. Melchor Ocampo Y,Nezahualpilli,2021,2022,0,2021_494069_2138759,RVEF013,radar fijo
2022,2022_494216_2144648,494216.08878485207,2144647.791159215,1,JVEF009,radar fijo,Aun/Gral. Juan Cabral Y ,Batalla De Celaya,2021,2022,0,2021_494216_2144648,JVEF009,radar fijo
