mes,tratado,n_colonias,media_incidentes,mediana_incidentes,sd_incidentes,total_incidentes,grupo
2017-06-01,1,92,32.84782608695652,25.5,27.172600446081507,3022,Con infraestructura
2017-07-01,0,1722,8.588269454123113,3,12.994994858298822,14789,Sin infraestructura
2017-07-01,1,92,33.630434782608695,28,27.29517825281313,3094,Con infraestructura
2017-08-01,0,1722,9.394889663182346,3,14.845778467583385,16178,Sin infraestructura
2017-08-01,1,92,34.66304347826087,27.5,28.058524854472978,3189,Con infraestructura
2017-09-01,0,1722,8.742160278745645,3,12.837099398038518,15054,Sin infraestructura
2017-09-01,1,92,30.119565217391305,23,25.285552662246882,2771,Con infraestructura
2017-10-01,0,1722,10.32752613240418,4,15.514595015340227,17784,Sin infraestructura
2017-10-01,1,92,36.83695652173913,28,30.732549653711928,3389,Con infraestructura
2017-11-01,0,1722,10.231126596980255,4,15.284936769508738,17618,Sin infraestructura
2017-11-01,1,92,39.608695652173914,28.5,32.885066760801905,3644,Con infraestructura
2017-12-01,0,1722,10.657375145180023,4,15.357673508101376,18352,Sin infraestructura
2017-12-01,1,92,36.93478260869565,29.5,27.70995946944664,3398,Con infraestructura
2018-01-01,0,1722,8.655052264808363,3,13.06571912662791,14904,Sin infraestructura
2018-01-01,1,92,30.380434782608695,24.5,23.40181376989772,2795,Con infraestructura
2018-02-01,0,1722,8.997096399535424,4,13.168266609024279,15493,Sin infraestructura
2018-02-01,1,92,31.184782608695652,23,24.933727256414688,2869,Con infraestructura
2018-03-01,0,1722,9.610336817653891,4,13.892329721986322,16549,Sin infraestructura
2018-03-01,1,92,34.891304347826086,26,28.842298197490226,3210,Con infraestructura
2018-04-01,0,1722,9.814169570267131,4,14.139763356024483,16900,Sin infraestructura
2018-04-01,1,92,33.54347826086956,23,29.55955547089443,3086,Con infraestructura
2018-05-01,0,1722,10.766550522648084,5,15.579903198613104,18540,Sin infraestructura
2018-05-01,1,92,38.391304347826086,26,31.498807415672918,3532,Con infraestructura
2018-06-01,0,1722,10.055168408826946,4,15.139440182580397,17315,Sin infraestructura
2018-06-01,1,92,36.619565217391305,25.5,32.40670205791427,3369,Con infraestructura
2018-07-01,0,1722,9.386759581881533,4,13.81058924999209,16164,Sin infraestructura
2018-07-01,1,92,31.902173913043477,25.5,27.565729552682253,2935,Con infraestructura
2018-08-01,0,1722,10.538908246225319,4,15.587318351902168,18148,Sin infraestructura
2018-08-01,1,92,35.19565217391305,24.5,29.729638569281413,3238,Con infraestructura
2018-09-01,0,1722,10.247386759581882,4,15.030988970290544,17646,Sin infraestructura
2018-09-01,1,92,36.15217391304348,27,30.285068595556357,3326,Con infraestructura
2018-10-01,0,1722,10.80952380952381,4,15.964325492875956,18614,Sin infraestructura
2018-10-01,1,92,38.18478260869565,30,31.735489666110812,3513,Con infraestructura
2018-11-01,0,1722,10.015679442508711,4,15.088631748789629,17247,Sin infraestructura
2018-11-01,1,92,35.891304347826086,26.5,28.11298105456777,3302,Con infraestructura
2018-12-01,0,1722,10.57897793263647,4,15.499915821427273,18217,Sin infraestructura
2018-12-01,1,92,39.630434782608695,29.5,32.27958814479977,3646,Con infraestructura
2019-01-01,0,1722,8.04239256678281,3,12.194242012456233,13849,Sin infraestructura
2019-01-01,1,92,27.793478260869566,20.5,23.294360041580344,2557,Con infraestructura
2019-02-01,0,1722,8.912311265969803,3.5,13.29917139929047,15347,Sin infraestructura
2019-02-01,1,92,29.67391304347826,24.5,25.536919490167573,2730,Con infraestructura
2019-03-01,0,1722,9.76945412311266,4,14.403568890957464,16823,Sin infraestructura
2019-03-01,1,92,33.108695652173914,25.5,27.361823296413505,3046,Con infraestructura
2019-04-01,0,1722,7.682926829268292,3,11.627895240892354,13230,Sin infraestructura
2019-04-01,1,92,26.52173913043478,18,24.09298756255523,2440,Con infraestructura
2019-05-01,0,1722,8.540650406504065,3,12.754456091375907,14707,Sin infraestructura
2019-05-01,1,92,28.902173913043477,23,22.829545047816897,2659,Con infraestructura
2019-06-01,0,1722,9.078397212543553,4,13.447995609927922,15633,Sin infraestructura
2019-06-01,1,92,32.07608695652174,22.5,28.728067102833126,2951,Con infraestructura
2019-07-01,0,1722,8.391405342624855,3,12.79962668323338,14450,Sin infraestructura
2019-07-01,1,92,31.032608695652176,22.5,27.839197240761692,2855,Con infraestructura
2019-08-01,0,1722,9.67828106852497,4,14.526774409033436,16666,Sin infraestructura
2019-08-01,1,92,31.5,26,25.053130356491195,2898,Con infraestructura
2019-09-01,0,1722,9.547619047619047,4,14.030070537184832,16441,Sin infraestructura
2019-09-01,1,92,33.76086956521739,25,26.954324232670768,3106,Con infraestructura
2019-10-01,0,1722,10.83739837398374,4,16.205508915207833,18662,Sin infraestructura
2019-10-01,1,92,37.70652173913044,27,33.01266425109561,3469,Con infraestructura
2019-11-01,0,1722,10.522648083623693,4,15.80851455137936,18120,Sin infraestructura
2019-11-01,1,92,36.43478260869565,27,33.35203647927453,3352,Con infraestructura
2019-12-01,0,1722,10.583042973286876,4,15.592885355505814,18224,Sin infraestructura
2019-12-01,1,92,37.02173913043478,27.5,31.478923093714474,3406,Con infraestructura
2020-01-01,0,1722,8.818815331010454,4,13.040888417012958,15186,Sin infraestructura
2020-01-01,1,92,30.52173913043478,23.5,25.817396920591648,2808,Con infraestructura
2020-02-01,0,1722,9.325203252032521,4,13.719822119411699,16058,Sin infraestructura
2020-02-01,1,92,34.04347826086956,28,28.328106278944425,3132,Con infraestructura
2020-03-01,0,1722,8.049361207897793,3,11.281120795457415,13861,Sin infraestructura
2020-03-01,1,92,28.543478260869566,21,23.80756784448701,2626,Con infraestructura
2020-04-01,0,1722,3.940185830429733,1,6.043174084535295,6785,Sin infraestructura
2020-04-01,1,92,12.554347826086957,9,12.294342601764262,1155,Con infraestructura
2020-05-01,0,1722,3.4494773519163764,1,5.3163766659193605,5940,Sin infraestructura
2020-05-01,1,92,11.41304347826087,8,10.11597819349546,1050,Con infraestructura
2020-06-01,0,1722,5.132404181184669,2,7.669214924086067,8838,Sin infraestructura
2020-06-01,1,92,15.554347826086957,13,14.552190372069088,1431,Con infraestructura
2020-07-01,0,1722,6.0946573751451805,3,9.014146376183152,10495,Sin infraestructura
2020-07-01,1,92,19.22826086956522,13,16.390229775906846,1769,Con infraestructura
2020-08-01,0,1722,6.7473867595818815,3,9.863717290740002,11619,Sin infraestructura
2020-08-01,1,92,19.543478260869566,18.5,15.514908139655219,1798,Con infraestructura
2020-09-01,0,1722,6.5632984901277585,3,9.744665862033557,11302,Sin infraestructura
2020-09-01,1,92,18.92391304347826,14,15.231714813775225,1741,Con infraestructura
2020-10-01,0,1722,7.199186991869919,3,10.69042153728519,12397,Sin infraestructura
2020-10-01,1,92,22.858695652173914,16.5,18.468614018774836,2103,Con infraestructura
2020-11-01,0,1722,7.300232288037166,3,10.677834130761113,12571,Sin infraestructura
2020-11-01,1,92,23.07608695652174,17,19.447440406541467,2123,Con infraestructura
