term,estimate,std.error,statistic,p.value,conf.low,conf.high,tiempo_evento,escenario,evento,buffer_m,outcome
fixest::tiempo_evento::5:tratada,2.3952212520596254,0.6914355458700661,3.464128025187952,5.443232937091964e-4,1.039127162060478,3.751315342058773,5,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::6:tratada,1.8918729278627986,0.6771437065057004,2.793901663245942,0.00526239880791126,0.5638090411313257,3.2199368145942717,6,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::7:tratada,3.8485786036016307,0.7637365877461846,5.039143947468761,5.141913069236989e-7,2.350682409017872,5.3464747981853895,7,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::8:tratada,5.387531595756894,0.8657549984016734,6.2229286642331445,6.046036384208192e-10,3.689549414001436,7.085513777512351,8,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::9:tratada,4.1454592456922015,0.8184008347845005,5.065316492234242,4.491855952691187e-7,2.540351521724843,5.75056696965956,9,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::10:tratada,7.31974034079283,0.8916701878115882,8.209022170806843,4.1837528265234405e-16,5.570931389413067,9.068549292172593,10,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::11:tratada,0.5623871582399268,0.6367442255207021,0.8832230206407145,0.37723288284739476,-0.6864423042129245,1.811216620692778,11,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::12:tratada,2.519843744919881,0.7184988187025484,3.50709518140916,4.640618060483726e-4,1.110671179908313,3.9290163099314492,12,2021-02-01 | n_incidentes | 500m,2021-02,500,n_incidentes
fixest::tiempo_evento::-12:tratada,0.14143797393777266,0.05459339121475682,2.590752667871297,0.009653418392889824,0.03436541219062833,0.248510535684917,-12,2021-02-01 | n_victimas | 500m,2021-02,500,n_victimas
fixest::tiempo_evento::-11:tratada,0.13902110757529307,0.051396605161409335,2.704869458570306,0.006897060650368348,0.03821831703072859,0.23982389811985755,-11,2021-02-01 | n_victimas | 500m,2021-02,500,n_victimas
fixest::tiempo_evento::-10:tratada,0.03261743754930718,0.05509506233095301,0.5920210663049263,0.5539102997484548,-0.07543903837445191,0.1406739134730663,-10,2021-02-01 | n_victimas | 500m,2021-02,500,n_victimas
fixest::tiempo_evento::-9:tratada,0.007472179367240898,0.04764301158430616,0.1568368396279607,0.8753909010160963,-0.08596878823291144,0.10091314696739324,-9,2021-02-01 | n_victimas | 500m,2021-02,500,n_victimas
fixest::tiempo_evento::-8:tratada,0.05320388668433308,0.0498046822546678,1.0682507000503292,0.2855496543992492,-0.04447670793255465,0.1508844813012208,-8,2021-02-01 | n_victimas | 500m,2021-02,500,n_victimas
