term,estimate,std.error,statistic,p.value,conf.low,conf.high,tiempo_evento,escenario,evento,buffer_m,outcome
fixest::tiempo_evento::5:tratada,-357.28574828344557,222.08110336740725,-1.6088075161098152,0.1078325399749965,-792.8474916388052,78.27599507191405,5,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::6:tratada,-324.4780758611559,221.14914326142605,-1.4672364137426572,0.14248519631917098,-758.2119907234841,109.25583900117226,6,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::7:tratada,-345.9619907743323,216.74571843056552,-1.5961652819691625,0.11062617534428834,-771.0595859904506,79.13560444178603,7,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::8:tratada,-349.60919804216866,208.8157076759532,-1.6742476029854192,0.09425442723492956,-759.1538747220735,59.935478637736196,8,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::9:tratada,-359.64757246360006,207.54583023702696,-1.732858579008144,0.08329085139699902,-766.7016724003261,47.406527473126005,9,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::10:tratada,-336.6306502957168,208.31064445072255,-1.6160031148833074,0.10626762267094376,-745.1847599460523,71.92345935461867,10,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::11:tratada,-344.6187793375081,204.3616607363164,-1.6863181581899678,0.09190658764902393,-745.4278525797567,56.190293904740486,11,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::12:tratada,-357.175532611974,204.17288971845238,-1.749377858659429,0.08039492188009495,-757.6143742929187,43.26330906897067,12,2021-02-01 | n_infracciones_velocidad | 500m,2021-02,500,n_infracciones_velocidad
fixest::tiempo_evento::-11:tratada,-172.3854547474142,86.56423689352359,-1.9914165587741863,0.04658493641061685,-342.16158320618047,-2.6093262886479636,-11,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::-10:tratada,-379.15755511312386,106.23255301022662,-3.569127770812622,3.6749235555622343e-4,-587.5086272602902,-170.80648296595754,-10,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::-9:tratada,-454.0989725276007,122.40844814800808,-3.7097028791553237,2.1375346774865061e-4,-694.1753962680066,-214.02254878719484,-9,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::-8:tratada,-453.0460756626377,123.89349863880713,-3.6567380907001863,2.6273141754951974e-4,-696.0350893124744,-210.05706201280103,-8,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::-7:tratada,-379.4930652493828,109.8027865375922,-3.456133284190007,5.60616934822631e-4,-594.8463411670898,-164.1397893316758,-7,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::-6:tratada,38.61707100879303,106.01739681985288,0.36425220923328294,0.7157121598717839,-169.31202104212957,246.54616305971564,-6,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::-5:tratada,133.86803755366503,110.5880752997917,1.2105106015342433,0.22624081137378824,-83.02540426341218,350.7614793707422,-5,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::-4:tratada,51.65991746942062,98.94484075777345,0.522108248128764,0.6016587465605757,-142.39795905857903,245.7177939974203,-4,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::-3:tratada,128.35822809315147,99.7501494290439,1.2867973514611883,0.198329204593069,-67.27907884778816,323.99553503409106,-3,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::-2:tratada,99.12485875670062,83.19623329229253,1.1914584931801684,0.2336295895543322,-64.04569409056303,262.2954116039643,-2,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
NA,0,NA,NA,NA,0,0,-1,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::0:tratada,103.42157693550234,96.15770333685067,1.0755412551109458,0.2822755791360419,-85.16996132408681,292.0131151950915,0,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::1:tratada,-52.226351501512,64.03072304258714,-0.8156451937420104,0.41481023436814857,-177.80810039346437,73.35539739044036,1,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::3:tratada,-416.0283704449341,119.75510383363002,-3.4739928163972222,5.248269531010165e-4,-650.9008607674634,-181.15588012240477,3,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::4:tratada,-411.73308408179656,120.25951890345375,-3.4237047331973978,6.314825035110722e-4,-647.5948702239872,-175.8712979396059,4,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::5:tratada,-152.02523817489586,148.09663021798872,-1.0265273284822516,0.3047800257109298,-442.48320809989593,138.43273175010418,5,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::6:tratada,-183.29609504874,141.0509142537135,-1.2995030625539834,0.19393655527082432,-459.9354902186004,93.34330012112045,6,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::7:tratada,-205.82934252853784,139.57835928209673,-1.4746508240044838,0.14048006416523268,-479.58065491738427,67.9219698603086,7,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::8:tratada,-221.29029577990485,132.8655025170503,-1.6655210840113086,0.09598160512821256,-481.87586128104215,39.295269721232444,8,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::9:tratada,-208.66717901906685,131.53742046280743,-1.586371226415133,0.1128295070785706,-466.64801261778746,49.31365457965376,9,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::10:tratada,-219.24381023653257,129.22953690484925,-1.6965456619871675,0.08995424984692067,-472.69825338274177,34.21063290967663,10,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::11:tratada,-254.38789188051487,126.1142396853823,-2.0171226700104397,0.04382984862537353,-501.73238570007516,-7.043398060954559,11,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::12:tratada,-296.8068627457239,131.99552153540276,-2.2486131293940663,0.024656779397879865,-555.6861577569064,-37.927567734541356,12,2021-02-01 | n_infracciones | 1000m,2021-02,1000,n_infracciones
fixest::tiempo_evento::-11:tratada,-185.76404397969281,85.37690757347448,-2.175811343598106,0.029698135282146668,-353.21149511861546,-18.31659284077017,-11,2021-02-01 | n_infracciones_velocidad | 1000m,2021-02,1000,n_infracciones_velocidad
