anio,id_ubicacion_anual,x_utm,y_utm,n_registros,ids,tipos,calle1,calle2,anio_origen,anio_destino,distancia_siguiente_m,id_destino,x_destino,y_destino,ids_destino,tipos_destino,calle1_destino,calle2_destino,rango_distancia
2021,2021_479599_2155022,479598.8304460184,2155022.343298866,1,RVEF014,radar fijo,Viaducto Río de la Piedad,y 1ro de Mayo,2021,2022,3309.720195805127,2022_482120_2152878,482119.53538082755,2152877.513607224,RVEM005,radar móvil,Eje 3 Norte Av. Cuitlahuac Y  ,Calle Piñon Sentido Poniente,>100 m
2021,2021_484821_2140056,484820.9204257583,2140055.863373705,1,RVEF018,radar fijo,Circuito Bicentenario Instituto Técnico Industrial,y Calle Eligio Ancona,2021,2022,1476.8424260546863,2022_483990_2138835,483989.94424220757,2138834.9857656844,RVEM012,radar móvil,Miguel Angel De Quevedo Y,Calle Inglaterra Direccion Oriente,>100 m
2021,2021_483662_2147898,483662.2313940677,2147897.9328471995,1,RVEF017,radar fijo,Eje 5 Av. Montevideo,y Nte. 31-A,2021,2022,1451.1387757561401,2022_485107_2148035,485106.8579642713,2148035.2566221436,JFCF022,radar fijo,Eje Central Lázaro Cárdenas Y,Avenida Hidalgo,>100 m
2021,2021_487561_2147473,487560.850131518,2147473.176356762,1,RVEF003,radar fijo,Av. Calzada Ignacio Zaragoza,y Azcárraga Vidaurreta,2021,2022,1350.0601458450244,2022_486230_2147701,486230.08932339784,2147700.636394946,BFCF004 | BFCF035,radar fijo,Circuito Bicentenario Maestro José Vasconcelos Y ,Av. Benjamín Franklin,>100 m
2021,2021_480074_2146539,480073.5547555747,2146538.866602322,1,RVEF001,radar fijo,Av. Chapultepec ,y Guaymas,2021,2022,811.9687992526403,2022_480661_2145978,480660.9939688194,2145978.3235605294,BCFC002 | BFCF001,radar fijo,José María Izazaga Y,José María Pino Suárez,>100 m
2021,2021_489302_2147606,489301.9856727786,2147606.384614436,1,RVEF040,radar fijo,Eje Central Lázaro Cárdenas,y Toribio Medina,2021,2022,620.5208731730613,2022_489838_2147294,489838.16025441815,2147294.033894816,VVEF002,radar fijo,Anillo Periférico Y,Y Embarcadero Del Parque Ecológico De Xochimilco,>100 m
2021,2021_486636_2150915,486635.53079561517,2150915.3986570807,1,RVEF019,radar fijo,Av. Constituyentes ,y Camino de los Toros,2021,2022,276.5573205146538,2022_486906_2150856,486905.7239654484,2150856.4105014415,BFCF022 | BFCF023 | BFCF024 | BFCF025,radar fijo,"Eje 1 Oriente Av. Del Trabajo, Eje 2 Norte Canal Del Norte Y",Av. Circunvalación,>100 m
2022,2022_498388_2139792,498387.6329406231,2139791.6713630906,1,JFCF003,radar fijo,Eje 1 Oriente Canal De Miramontes Y Eje 9 Sur Taxqueña Y,Cerro De Teponaxtle,2022,2023,3723.2558716893186,2023_494838_2140914,494837.63520902366,2140914.235566915,JFCF009 | JFCF016,radar fijo,Eje 6 Sur Av. Luis Méndez Y,Carlos L. Gracidas,>100 m
2022,2022_492061_2136096,492060.79437148,2136095.569138875,1,JFCF001,radar fijo,Eje 4 Ote. Canal Río Churubusco Y,Canal De Apatlaco,2022,2023,3278.078935414581,2023_493953_2138772,493953.20959948323,2138772.2398529584,017-SSC-IZP-EV-124.134,radar fijo,Pensamiento,Pabellón,>100 m
2022,2022_481657_2148412,481657.30843529844,2148411.6606288855,1,JFCF018,radar fijo,Calz. Gral. Ignacio Zaragoza Y,Circuito Bicentenario Boulevard Puerto Aéreo,2022,2023,952.5605703267051,2023_481774_2147466,481774.2660470466,2147466.307490003,003-SSC-CUH-FC-124.22,radar fijo,Burdeos,Leija,>100 m
